img,sigma,k,h,a,mu,lam,dtheta,dt,iters,psnr,ssim,score,log_path
man.tiff,10,0.2,0.08,0.1,5.0,1.2,2.0,0.05,8,31.1324188776598,0.8454334953300114,0.8568717146455693,results/sweeps/man_sigma10\metrics.1761224642.22772.jsonl
man.tiff,10,0.2,0.08,0.1,5.0,1.0,2.0,0.05,14,30.922181275707068,0.8447306244695565,0.8133240302288672,results/sweeps/man_sigma10\metrics.1761224653.22772.jsonl
man.tiff,10,0.2,0.1,0.08,5.0,1.2,2.0,0.05,6,31.011625370132148,0.839529947126305,0.8280012871122695,results/sweeps/man_sigma10\metrics.1761224675.22772.jsonl
man.tiff,10,0.2,0.1,0.08,5.0,1.2,2.0,0.05,12,30.975912029270148,0.8442167662389999,0.8239681357868814,results/sweeps/man_sigma10\metrics.1761224687.22772.jsonl
man.tiff,10,0.2,0.1,0.1,5.0,1.0,2.0,0.05,12,31.02177521672756,0.8459089783561616,0.8345452499506578,results/sweeps/man_sigma10\metrics.1761224707.22772.jsonl
man.tiff,10,0.2,0.12,0.08,5.0,1.0,2.0,0.05,14,30.78754040451258,0.8406773250713631,0.7829129017279648,results/sweeps/man_sigma10\metrics.1761224749.22772.jsonl
man.tiff,10,0.2,0.12,0.1,5.0,1.2,2.0,0.05,14,30.792017656560713,0.8421318705073764,0.7848480037532297,results/sweeps/man_sigma10\metrics.1761224772.22772.jsonl
man.tiff,10,0.25,0.08,0.1,5.0,1.0,2.0,0.05,10,31.057213124447554,0.8465024858720017,0.8422182225003862,results/sweeps/man_sigma10\metrics.1761224814.22772.jsonl
man.tiff,10,0.25,0.1,0.1,5.0,1.0,2.0,0.05,10,31.01602979258494,0.8456989199406283,0.8332215731428143,results/sweeps/man_sigma10\metrics.1761224869.22772.jsonl
man.tiff,10,0.25,0.1,0.12,5.0,1.0,2.0,0.05,12,30.846710069395904,0.8461321443885601,0.7988489450979744,results/sweeps/man_sigma10\metrics.1761224892.22772.jsonl
man.tiff,10,0.25,0.12,0.1,5.0,1.0,2.0,0.05,10,30.97206827711655,0.8449227476027831,0.8236751403286058,results/sweeps/man_sigma10\metrics.1761224923.22772.jsonl
man.tiff,10,0.3,0.08,0.08,5.0,1.2,2.0,0.05,6,31.066666232909142,0.8402352513921393,0.839767110640036,results/sweeps/man_sigma10\metrics.1761224956.22772.jsonl
