img,sigma,k,h,a,mu,lam,dtheta,dt,iters,psnr,ssim,score,log_path
man.tiff,10,0.2,0.08,0.08,5.0,1.0,2.0,0.05,6,31.302987881032816,0.8491128633563619,0.894379004144658,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.08,5.0,1.2,2.0,0.05,6,31.235593892567874,0.847924515412158,0.8797451878403079,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.12,5.0,1.0,2.0,0.05,8,31.222326836887362,0.8483388509701633,0.8773181919532638,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.12,5.0,1.0,2.0,0.05,8,31.215582813709748,0.8483277356575111,0.8759292669187425,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.12,5.0,1.0,2.0,0.05,10,31.205122977582423,0.8502698466189321,0.875146619212039,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.12,5.0,1.0,2.0,0.05,8,31.204084896431006,0.8481860330150284,0.8734753555383494,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.1,5.0,1.0,2.0,0.05,8,31.197318542261606,0.846446513902719,0.870871974561688,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.12,5.0,1.0,2.0,0.05,8,31.19028279760258,0.8480513229725567,0.8705544534037615,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.1,5.0,1.0,2.0,0.05,8,31.19053957101494,0.8464243066706941,0.8694681279829792,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.08,5.0,1.0,2.0,0.05,8,31.188458353604624,0.8457117271750957,0.8685430987718435,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.12,5.0,1.0,2.0,0.05,10,31.174525702936535,0.8496799462847694,0.868467510639314,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.1,5.0,1.0,2.0,0.05,10,31.175143147885468,0.8478923859610583,0.8673426682422907,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.1,0.08,5.0,1.0,2.0,0.05,8,31.181653688866774,0.8456847140027373,0.8671306261284153,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.1,5.0,1.0,2.0,0.05,8,31.17905935035126,0.8462758308729356,0.8670130995776559,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.1,0.12,5.0,1.0,2.0,0.05,8,31.172778422700254,0.8478526440595648,0.8668305642844504,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.12,0.08,5.0,1.0,2.0,0.05,8,31.170172340946294,0.8455333639220934,0.8646733548681672,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.08,5.0,1.0,2.0,0.05,10,31.163971502537144,0.8469211949561445,0.8643749339692508,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.25,0.08,0.1,5.0,1.0,2.0,0.05,8,31.165149363988075,0.8461311631853093,0.8640631322303598,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.12,5.0,1.2,2.0,0.05,10,31.153214330994157,0.8495768084135046,0.8640308451111524,results/sweeps/man_sigma10\metrics.jsonl
man.tiff,10,0.2,0.08,0.12,5.0,1.2,2.0,0.05,8,31.15804348336792,0.847419488642847,0.8635097090279382,results/sweeps/man_sigma10\metrics.jsonl
